beta0,gammaR,omega1,rel_2inf,gamma_mod,mu,beta1,ST_S,ST_I1,ST_R1,ST_R2,ST_I2,steady,mapi
81.15111111111112,40.55555555555556,0.7000000000000001,0.63,1,0.02,0,0.143589871607598,3.240917474282718e-4,0.09017878364084547,0.5657303625124684,0.0012768904916564251,TRUE,10.919213555720454
81.15111111111112,40.55555555555556,0.71,0.63,1,0.02,0,0.1427294593836434,3.2451585078469e-4,0.08966055443539563,0.5670960962028934,0.0012893741272847223,TRUE,10.839599380946497
81.15111111111112,40.55555555555556,0.72,0.63,1,0.02,0,0.14188495863010311,3.2493211129994864e-4,0.0891517535917479,0.5684365735908962,0.0013017820759544713,TRUE,10.7616595940087
81.15111111111112,40.55555555555556,0.73,0.63,1,0.02,0,0.14105587735338157,3.2534077147613257e-4,0.08865209056004505,0.569752575618713,0.001314115696389137,TRUE,10.685336896977386
81.15111111111112,40.55555555555556,0.74,0.63,1,0.02,0,0.14024174483582386,3.257420633289658e-4,0.08816128733724977,0.571044849457242,0.0013263763063523068,TRUE,10.610576689581293
81.15111111111112,40.55555555555556,0.75,0.63,1,0.02,0,0.13944211045811208,3.2613620896808625e-4,0.08767907777330367,0.5723141103752568,0.0013385651843627283,TRUE,10.537326908440601
81.15111111111112,40.55555555555556,0.76,0.63,1,0.02,0,0.13865654260091612,3.2652342113840047e-4,0.08720520692381656,0.5735610434828199,0.001350683571316756,TRUE,10.46553787784552
81.15111111111112,40.55555555555556,0.77,0.63,1,0.02,0,0.13788462761934595,3.2690390372549854e-4,0.08673943044576385,0.5747863053591344,0.0013627326720265253,TRUE,10.39516217110205
81.15111111111112,40.55555555555556,0.78,0.63,1,0.02,0,0.1371259688846366,3.272778522280262e-4,0.08628151403277791,0.5759905255736781,0.001374713656678389,TRUE,10.32615448157629
81.15111111111112,40.55555555555556,0.79,0.63,1,0.02,0,0.13638018588794856,3.276454541992717e-4,0.0858312328868924,0.577174308108746,0.0013866276622147183,TRUE,10.25847150265921
81.15111111111112,40.55555555555556,0.8,0.63,1,0.02,0,0.13564691340144344,3.2800688966073315e-4,0.08538837122417105,0.5783382326910748,0.0013984757936472698,TRUE,10.192071815910733
81.15111111111112,40.55555555555556,0.81,0.63,1,0.02,0,0.134925800692409,3.2836233148938e-4,0.08495272181153128,0.5794828560392619,0.0014102591253037228,TRUE,10.126915786749974
81.15111111111112,40.55555555555556,0.8200000000000001,0.63,1,0.02,0,0.13421651078650274,3.287119457808123e-4,0.08452408553248399,0.5806087130332233,0.0014219787020124425,TRUE,10.062965467090796
81.15111111111112,40.55555555555556,0.8300000000000001,0.63,1,0.02,0,0.13351871977651317,3.290558921899315e-4,0.08410227097967739,0.5817163178113961,0.0014336355402285014,TRUE,10.00018450438801
81.15111111111112,40.55555555555556,0.84,0.63,1,0.02,0,0.13283211617327229,3.2939432425084514e-4,0.08368709407233696,0.5828061648010358,0.0014452306291058397,TRUE,9.938538056594087
81.15111111111112,40.55555555555556,0.85,0.63,1,0.02,0,0.13215640029578912,3.297273896774999e-4,0.08327837769676032,0.5838787296862594,0.0014567649315174644,TRUE,9.87799271258451
81.15111111111112,40.55555555555556,0.86,0.63,1,0.02,0,0.13149128369779803,3.300552306462885e-4,0.08287595136824288,0.5849344703182872,0.0014682393850265676,TRUE,9.818516417643103
81.15111111111112,40.55555555555556,0.87,0.63,1,0.02,0,0.13083648862811678,3.3037798406198915e-4,0.08247965091298552,0.5859738275720148,0.0014796549028125918,TRUE,9.76007840362527
81.15111111111112,40.55555555555556,0.88,0.63,1,0.02,0,0.1301917475225371,3.3069578180830786e-4,0.08208931816856672,0.5869972261525378,0.0014910123745543837,TRUE,9.702649123457489
81.15111111111112,40.55555555555556,0.89,0.63,1,0.02,0,0.12955680252510993,3.3100875098371346e-4,0.08170480070162081,0.5880050753550167,0.0015023126672707998,TRUE,9.646200189671339
81.15111111111112,40.55555555555556,0.9,0.63,1,0.02,0,0.12893140503667178,3.3131701412403606e-4,0.08132595154178215,0.588997769781301,0.0015135566261257603,TRUE,9.590704316656733
81.15111111111112,40.55555555555556,0.91,0.63,1,0.02,0,0.12831531528901458,3.3162068941231703e-4,0.08095262893052892,0.5899756900158498,0.0015247450751943367,TRUE,9.536135266399429
81.15111111111112,40.55555555555556,0.92,0.63,1,0.02,0,0.1277083019427961,3.319198908770209e-4,0.08058469608416159,0.5909392032639705,0.0015358788181963332,TRUE,9.482467797435609
81.15111111111112,40.55555555555556,0.93,0.63,1,0.02,0,0.12711014170777096,3.3221472857918624e-4,0.08022202096983214,0.5918886639546261,0.0015469586391960448,TRUE,9.429677616816074
81.15111111111112,40.55555555555556,0.9400000000000001,0.63,1,0.02,0,0.12652061898380074,3.3250530878941177e-4,0.0798644760938796,0.5928244143102593,0.0015579853032722628,TRUE,9.377741334861387
81.15111111111112,40.55555555555556,0.9500000000000001,0.63,1,0.02,0,0.12593952552133333,3.327917341551488e-4,0.0795119383016384,0.5937467848857161,0.0015689595571588152,TRUE,9.326636422525608
81.15111111111112,40.55555555555556,0.96,0.63,1,0.02,0,0.12536666010015152,3.3307410385909563e-4,0.07916428858796062,0.5946560950781704,0.0015798821298573659,TRUE,9.276341171190856
81.15111111111112,40.55555555555556,0.97,0.63,1,0.02,0,0.12480182822515763,3.3335251376910194e-4,0.07882141191784679,0.5955526536099993,0.0015907537332244804,TRUE,9.226834654729437
81.15111111111112,40.55555555555556,0.98,0.63,1,0.02,0,0.12424484183820285,3.3362705658023846e-4,0.07848319705648961,0.5964367589861997,0.0016015750625337285,TRUE,9.178096693685593
81.15111111111112,40.55555555555556,0.99,0.63,1,0.02,0,0.12369551904496333,3.3389782194940426e-4,0.0781495364081571,0.5973086999279226,0.0016123467970136141,TRUE,9.130107821441337
81.15111111111112,40.55555555555556,1,0.63,1,0.02,0,0.12315368385585183,3.341648966230192e-4,0.07782032586342998,0.5981687557837211,0.001623069600364498,TRUE,9.082849252229128
81.15111111111112,40.55555555555556,1.01,0.63,1,0.02,0,0.1226191659401937,3.3442836455821684e-4,0.07749546465424338,0.599017196919749,0.0016337441212542342,TRUE,9.036302850879101
81.15111111111112,40.55555555555556,1.02,0.63,1,0.02,0,0.12209180039296487,3.346883070378038e-4,0.07717485521619384,0.5998542850900097,0.001644370993791221,TRUE,8.990451104201517
81.15111111111112,40.55555555555556,1.03,0.63,1,0.02,0,0.12157142751306944,3.3494480277954195e-4,0.07685840305786024,0.6006802737883055,0.001654950837981787,TRUE,8.945277093876113
81.15111111111112,40.55555555555556,1.04,0.63,1,0.02,0,0.1210578925927532,3.3519792803992824e-4,0.07654601663653603,0.6014954085825012,0.0016654842601669627,TRUE,8.900764470779766
81.15111111111112,40.55555555555556,1.05,0.63,1,0.02,0,0.1205510457173465,3.354477567129382e-4,0.07623760724011983,0.6022999274323914,0.001675971853443106,TRUE,8.856897430648381
81.15111111111112,40.55555555555556,1.06,0.63,1,0.02,0,0.12005074157483889,3.3569436042388804e-4,0.07593308887471684,0.603094060991963,0.0016864141980646751,TRUE,8.81366069100268
81.15111111111112,40.55555555555556,1.07,0.63,1,0.02,0,0.11955683927453517,3.3593780861879363e-4,0.07563237815778091,0.60387803289724,0.0016968118618338863,TRUE,8.771039469245208
81.15111111111112,40.55555555555556,1.08,0.63,1,0.02,0,0.11906920217457005,3.361781686494063e-4,0.07533539421623775,0.604652060040072,0.001707165400472124,TRUE,8.729019461881833
81.15111111111112,40.55555555555556,1.09,0.63,1,0.02,0,0.11858769771748476,3.364155058542511e-4,0.07504205858956338,0.6054163528291235,0.001717475357979821,TRUE,8.687586824777211
81.15111111111112,40.55555555555556,1.1,0.63,1,0.02,0,0.11811219727364847,3.366498836357794e-4,0.07475229513732602,0.6061711154384115,0.001727742266980455,TRUE,8.64672815440327
81.15111111111112,40.55555555555556,1.11,0.63,1,0.02,0,0.11764257599190334,3.368813635340337e-4,0.07446602995113158,0.6069165460443786,0.0017379666490538355,TRUE,8.60643047000447
81.15111111111112,40.55555555555556,1.12,0.63,1,0.02,0,0.11717871265719138,3.371100052967861e-4,0.07418319127056953,0.6076528370518791,0.0017481490150550428,TRUE,8.566681196644142
