beta0,gammaR,omega1,rel_2inf,gamma_mod,mu,beta1,ST_S,ST_I1,ST_R1,ST_R2,ST_I2,mapi,steady
202.8777777777778,40.55555555555556,0.63,0.96,1,0.02,0,0.008139196419588173,4.88895735375634e-4,0.7795122473926088,0.19985500372959566,0.012004656722834635,0.4102993277991915,TRUE
202.8777777777778,40.55555555555556,0.64,0.96,1,0.02,0,0.008019035649296125,4.889549635333964e-4,0.7793181902747037,0.19998017119864983,0.012193647913813804,0.40419302070705504,TRUE
202.8777777777778,40.55555555555556,0.65,0.96,1,0.02,0,0.007902427015800824,4.890124408159138e-4,0.7791243729011985,0.20010163852520746,0.012382549116976458,0.39826863964753917,TRUE
202.8777777777778,40.55555555555556,0.66,0.96,1,0.02,0,0.007789215300968651,4.890682437313795e-4,0.7789307887368921,0.20021956739482433,0.012571360323583051,0.3925181736122423,TRUE
202.8777777777778,40.55555555555556,0.67,0.96,1,0.02,0,0.007679254200414118,4.891224443943396e-4,0.7787374316181249,0.200334110207902,0.012760081529163322,0.3869340751425286,TRUE
202.8777777777778,40.55555555555556,0.68,0.96,1,0.02,0,0.0075724056926820965,4.891751108366235e-4,0.7785442957264855,0.20044541073678945,0.012948712733209597,0.38150922727855774,TRUE
202.8777777777778,40.55555555555556,0.6900000000000001,0.96,1,0.02,0,0.0074685394612541405,4.892263072922223e-4,0.7783513755646961,0.20055360472786032,0.013137253938895187,0.3762369132964429,TRUE
202.8777777777778,40.55555555555556,0.7000000000000001,0.96,1,0.02,0,0.007367532364288808,4.892760944586996e-4,0.7781586659345704,0.20065882045386582,0.013325705152818022,0.37111078896286115,TRUE
202.8777777777778,40.55555555555556,0.71,0.96,1,0.02,0,0.007269267947559813,4.893245297372203e-4,0.7779661619166448,0.20076117922129186,0.013514066384762352,0.3661248570662695,TRUE
202.8777777777778,40.55555555555556,0.72,0.96,1,0.02,0,0.007173635996540589,4.893716674533733e-4,0.7777738588515898,0.2008607958369369,0.013702337647482452,0.3612734440095703,TRUE
202.8777777777778,40.55555555555556,0.73,0.96,1,0.02,0,0.007080532124013742,4.894175590604034e-4,0.7775817523229405,0.2009577790374857,0.013890518956500855,0.3565511782722979,TRUE
202.8777777777778,40.55555555555556,0.74,0.96,1,0.02,0,0.0069898573899605,4.894622533265969e-4,0.7773898381413302,0.20105223188545782,0.014078610329924596,0.3519529705702851,TRUE
202.8777777777778,40.55555555555556,0.75,0.96,1,0.02,0,0.006901517950820706,4.895057965081636e-4,0.7771981123298308,0.20114425213456175,0.014266611788274616,0.34747399555882996,TRUE
202.8777777777778,40.55555555555556,0.76,0.96,1,0.02,0,0.006815424735509077,4.895482325089214e-4,0.7770065711104714,0.2012339325671781,0.014454523354328123,0.3431096749410402,TRUE
202.8777777777778,40.55555555555556,0.77,0.96,1,0.02,0,0.006731493145836415,4.895896030279574e-4,0.7768152108917407,0.2013213613064204,0.01464234505297283,0.33885566185703914,TRUE
202.8777777777778,40.55555555555556,0.78,0.96,1,0.02,0,0.006649642779217526,4.896299476963168e-4,0.7766240282570305,0.20140662210498175,0.014830076911072534,0.33470782644212455,TRUE
202.8777777777778,40.55555555555556,0.79,0.96,1,0.02,0,0.006569797171755189,4.896693042036353e-4,0.7764330199539434,0.201489794612755,0.015017718957342214,0.33066224245303444,TRUE
202.8777777777778,40.55555555555556,0.8,0.96,1,0.02,0,0.006491883559974533,4.897077084155887e-4,0.776242182884351,0.20157095462502653,0.015205271222232392,0.3267151748712675,TRUE
202.8777777777778,40.55555555555556,0.81,0.96,1,0.02,0,0.006415832659647093,4.89745194482892e-4,0.776051514095178,0.20165017431286764,0.015392733737821126,0.32286306840119866,TRUE
202.8777777777778,40.55555555555556,0.8200000000000001,0.96,1,0.02,0,0.006341578460291329,4.897817949426233e-4,0.775861010769852,0.20172752243719652,0.015580106537715136,0.3191025367884893,TRUE
202.8777777777778,40.55555555555556,0.8300000000000001,0.96,1,0.02,0,0.006269058034068563,4.898175408123887e-4,0.7756706702203182,0.20180306454784527,0.015767389656955958,0.3154303528914103,TRUE
202.8777777777778,40.55555555555556,0.84,0.96,1,0.02,0,0.006198211357911257,4.898524616780111e-4,0.7754804898796328,0.20187686316884237,0.015954583131933965,0.31184343944381343,TRUE
202.8777777777778,40.55555555555556,0.85,0.96,1,0.02,0,0.006128981147826986,4.898865857752095e-4,0.7752904672950774,0.20194897797101363,0.016141687000308193,0.3083388604542158,TRUE
202.8777777777778,40.55555555555556,0.86,0.96,1,0.02,0,0.006061312704416704,4.899199400657334e-4,0.7751006001216839,0.20201946593289938,0.016328701300930816,0.30491381319047955,TRUE
202.8777777777778,40.55555555555556,0.87,0.96,1,0.02,0,0.005995153768731594,4.899525503084174e-4,0.7749108861162776,0.20208838149090466,0.016515626073777524,0.30156562070406423,TRUE
202.8777777777778,40.55555555555556,0.88,0.96,1,0.02,0,0.005930454387670388,4.899844411255247e-4,0.7747213231318131,0.2021557766795101,0.016702461359881796,0.29829172485197386,TRUE
202.8777777777778,40.55555555555556,0.89,0.96,1,0.02,0,0.005867166788188206,4.900156360647498e-4,0.774531909112167,0.20222170126230402,0.01688920720127397,0.29508967977814293,TRUE
202.8777777777778,40.55555555555556,0.9,0.96,1,0.02,0,0.005805245259651411,4.900461576572169e-4,0.7743426420872375,0.20228620285452975,0.017075863640924466,0.2919571458193602,TRUE
202.8777777777778,40.55555555555556,0.91,0.96,1,0.02,0,0.0057446460437296,4.900760274717364e-4,0.7741535201683255,0.20234932703778163,0.017262430722689626,0.2888918838038393,TRUE
202.8777777777778,40.55555555555556,0.92,0.96,1,0.02,0,0.005685327231267122,4.901052661656514e-4,0.7739645415438764,0.2024111174674301,0.01744890849126231,0.2858917497131941,TRUE
202.8777777777778,40.55555555555556,0.93,0.96,1,0.02,0,0.005627248665623659,4.901338935324721e-4,0.7737757044754114,0.2024716159733088,0.017635296992124457,0.28295468968112236,TRUE
