R0,beta1,gamma,omega,rho,nu,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
1.2,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,Inf,2.0931506849315067,862.2686562703232
1.4,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,Inf,1.0465753424657533,1182891.9466909128
1.5999999999999999,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,Inf,0.8054794520547945,3793273.9442388625
1.7999999999999998,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,20.687671232876713,0.663013698630137,3990014.966597129
2,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,14.446575342465753,0.547945205479452,4002286.082686905
2.1999999999999997,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,10.986301369863014,0.4465753424657534,3990414.8296821783
2.4,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,9.38082191780822,0.3643835616438356,4022768.7604278727
2.5999999999999996,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,7.884931506849315,0.3041095890410959,4102333.0483770375
2.8,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,6.545205479452055,0.26301369863013696,4198759.091715192
3,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,5.608219178082192,0.23013698630136986,4288883.960896971
3.1999999999999997,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,5.008219178082192,0.2054794520547945,4364553.484594903
3.3999999999999995,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,4.304109589041096,0.1863013698630137,4425671.683300512
3.5999999999999996,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,3.9753424657534246,0.16986301369863013,4475326.921194606
3.8,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,3.4575342465753423,0.15616438356164383,4517067.577392267
4,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,3.186301369863014,0.14520547945205478,4554907.826742016
4.199999999999999,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,2.9534246575342467,0.13424657534246576,4592941.237325229
4.3999999999999995,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,2.8109589041095893,0.12602739726027398,4632853.095929906
4.6,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,2.706849315068493,0.12054794520547946,4670954.721690522
4.8,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,2.271232876712329,0.11232876712328767,4700937.347065498
5,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,2.1506849315068495,0.10684931506849316,4721084.227823067
5.199999999999999,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,2.043835616438356,0.10136986301369863,4733745.049495582
5.3999999999999995,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,1.9424657534246574,0.0958904109589041,4742017.350256269
5.6,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,1.8493150684931507,0.09315068493150686,4747571.148352805
5.8,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,1.7808219178082192,0.08767123287671233,4751590.273365216
6,0.2,40.55555555555556,0.7333333333333333,0.7,0,covid,1.726027397260274,0.08493150684931507,4754574.801737873
1.2,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,Inf,2.0931506849315067,862.2686583892946
1.4,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,Inf,1.0465753424657533,1182916.6846433936
1.5999999999999999,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,Inf,0.8054794520547945,3795507.6349903154
1.7999999999999998,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,19.224657534246575,0.663013698630137,3993887.0939222937
2,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,13.183561643835617,0.547945205479452,4008051.103526252
2.1999999999999997,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,10.41095890410959,0.4465753424657534,3998767.8745750026
2.4,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,8.610958904109589,0.3643835616438356,4033342.592937283
2.5999999999999996,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,7.235616438356164,0.3041095890410959,4113421.058946853
2.8,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,6.126027397260274,0.26301369863013696,4209140.617780165
3,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,5.2246575342465755,0.23013698630136986,4298781.599713585
3.1999999999999997,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,4.465753424657534,0.2054794520547945,4374970.856391986
3.3999999999999995,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,4.038356164383561,0.1863013698630137,4438259.016909935
3.5999999999999996,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,3.723287671232877,0.16986301369863013,4492729.160244612
3.8,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,3.202739726027397,0.15616438356164383,4543264.097876577
4,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,2.958904109589041,0.14520547945205478,4593620.209995665
4.199999999999999,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,2.797260273972603,0.13424657534246576,4642165.76289717
4.3999999999999995,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,2.6794520547945204,0.12602739726027398,4681801.8921877295
4.6,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,2.2465753424657535,0.12054794520547946,4708955.791782202
4.8,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,2.117808219178082,0.11232876712328767,4726028.446818791
5,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,2.0082191780821916,0.10684931506849316,4736798.782658938
